Duration_s,Sample,Final_X,Final_Y,Final_Z
2.5,1,0.049221214507817725,5.7054362185554646e-05,-0.0008643900332417041
2.5,2,0.04990178715671907,1.3782722159158127e-05,-0.0008650198666460412
2.5,3,0.05066917027815047,4.3978338731583776e-05,-0.0008650244266278813
2.5,4,0.0499236713286478,1.3041277152301247e-05,-0.0008650205684802605
2.5,5,0.04998518101597477,1.3724268295003865e-05,-0.0008650204497848771
2.5,6,0.05015981453207077,1.414527390119558e-05,-0.0008650212259793712
2.5,7,0.049924658590357954,8.981962720079138e-06,-0.0008650197361190042
2.5,8,0.049923815790280116,1.485722241898856e-05,-0.0008650173561361649
2.5,9,0.049982444609396416,1.818720667656021e-05,-0.0008650173797169307
2.5,10,0.049814185132774386,1.3667720617890165e-05,-0.0008644298701616267
2.5,11,0.05024459298571182,1.4457091626012583e-05,-0.0008650205218886584
2.5,12,0.05001680930996621,1.540846333294414e-05,-0.0008642325977177741
2.5,13,0.04971275606227116,-0.00030749802629110386,-0.0008650214034159123
2.5,14,0.050159556855758895,1.6934697578479018e-05,-0.0008650173657984671
2.5,15,0.0510574320669385,0.0001339755793606347,-0.0008645941593386046
2.5,16,0.04973409715717937,1.4700279047089863e-05,-0.0008650197270190993
2.5,17,0.05049404741796576,8.581928008935016e-05,-0.0008650224149550322
2.5,18,0.04990872714111178,8.632859095249464e-06,-0.0008650173209237937
2.5,19,0.05156663780888415,0.0001513904332082766,-0.0008650160399333202
2.5,20,0.04990069107188167,1.3492825138088951e-05,-0.0008650208359663181
2.5,21,0.0498799961717044,1.66796170708202e-05,-0.0008650179768324232
2.5,22,0.04975884199164678,1.71789533209795e-05,-0.0008650206666277784
2.5,23,0.05014085698238015,1.3602940799010815e-05,-0.0008650214706700451
2.5,24,0.04998560674849381,1.2724043814552473e-05,-0.0008650211066890436
2.5,25,0.04994352541072208,1.3767356487062169e-05,-0.0008650214517741187
2.5,26,0.05001315067945343,1.8081297831845756e-05,-0.000863994344273155
2.5,27,0.05088457082459642,9.599210992150148e-05,-0.0008650227818256598
2.5,28,0.05001525904797223,1.804870854877188e-05,-0.0008652220611688327
2.5,29,0.05009407454236969,1.617216346602257e-05,-0.0008650170829783976
2.5,30,0.049743031404105534,1.5136583902001339e-05,-0.0008650208506673016
2.5,31,0.049813972503332374,1.4422985375372272e-05,-0.0008638671008350599
2.5,32,0.049770510030272073,1.9365944648142375e-05,-0.0008643186362258873
2.5,33,0.049961905262169384,1.414749191818285e-05,-0.0008650205245199147
2.5,34,0.05069573877256017,-1.5883756637368472e-05,-0.0008650184979420127
2.5,35,0.04995439815411645,-3.295815446428125e-05,-0.0008650216010668288
2.5,36,0.0496140948466586,1.548838923001503e-05,-0.0008644351657761951
2.5,37,0.05001530358063744,2.1080485235554548e-05,-0.0008650186173888817
2.5,38,0.049981995825805856,1.4298474364454304e-05,-0.0008650202083775316
2.5,39,0.049858494482382755,6.992549331331269e-06,-0.000865018024281166
2.5,40,0.050369133556811566,1.4888808876653587e-05,-0.0008650199999928436
2.5,41,-0.017705467466891583,0.0505253033962122,-0.0008650380012623533
2.5,42,0.04985754309778398,-2.0637347609435762e-05,-0.0008642764408421169
2.5,43,0.050102173684887535,1.324014027358826e-05,-0.0008650208961886868
2.5,44,0.04997089423041093,-6.124590465145379e-05,-0.0008643161744542084
2.5,45,0.05039222715910634,1.363128870576015e-05,-0.0008650194697449945
2.5,46,0.050403428263472654,1.3542255276932603e-05,-0.0008650219246494721
2.5,47,0.05001662634015134,7.566222400244914e-06,-0.0008642831015997915
2.5,48,0.05000749571316051,1.2260074306794126e-05,-0.0008648421634304473
2.5,49,0.05000201110369228,1.3758113799252093e-05,-0.0008650211674943661
2.5,50,0.08316537126851882,0.007623302297456478,-0.0008650186195526786
5.0,1,0.09993082981747889,4.447701645351733e-05,-0.0008650184678764307
5.0,2,0.10071028942503649,6.947189219980862e-05,-0.0008641585508768687
5.0,3,0.10011130580450522,4.9054351791217415e-05,-0.0008650174049922195
5.0,4,0.09994692668073454,4.121465801436262e-05,-0.0008650215227789873
5.0,5,0.10024419440951773,8.581284669980956e-05,-0.000865018227536242
5.0,6,0.09983077298515826,4.1730016598995245e-05,-0.0008645955169022737
5.0,7,0.09986674238607818,4.353783311667831e-05,-0.0008650215565609021
5.0,8,0.09995072687881437,3.990499211446926e-05,-0.0008650185762007004
5.0,9,0.10023573024866411,6.460005153272622e-05,-0.0008650178701145178
5.0,10,0.09984839730152667,4.215840577133177e-05,-0.000864931941430433
5.0,11,0.10059367371155128,0.00022339859061831113,-0.0008650223739336167
5.0,12,0.09996866931745077,4.2656340384436484e-05,-0.0008650215366739072
5.0,13,0.10021240523082987,5.010083720219316e-05,-0.0008641564616641388
5.0,14,0.10008858324639781,4.338981209322123e-05,-0.0008650181891987942
5.0,15,0.10001997095056557,3.792311023675164e-05,-0.0008642049949886717
5.0,16,0.10030814796303555,4.3741032806585234e-05,-0.0008650160467810405
5.0,17,0.09978230888151586,5.9702576683719385e-05,-0.0008650181922980373
5.0,18,0.09988806821741283,4.23717310666025e-05,-0.0008650208664931353
5.0,19,0.10052891669379067,4.4613734473900307e-05,-0.0008650183982098734
5.0,20,0.09994905749771073,4.075070001575309e-05,-0.0008650160869575624
5.0,21,0.0999081619149564,3.987801460346029e-05,-0.0008650185568174588
5.0,22,0.10008483082286555,4.4807639775800324e-05,-0.0008650209081867005
5.0,23,0.09994760356318977,3.8006095153188404e-05,-0.0008650165066734841
5.0,24,0.1000145882880753,3.966846845752311e-05,-0.0008649335232399705
5.0,25,0.10001911916935176,4.439348232101332e-05,-0.0008643200400036757
5.0,26,0.10018683843066344,4.150181537158771e-05,-0.0008650208333144706
5.0,27,0.09991775739277392,5.537396776296719e-05,-0.0008650181271095785
5.0,28,0.10001310526058667,2.585067667653193e-05,-0.0008650224680432604
5.0,29,0.11297629454651789,0.19256290433329562,-0.0008650008534217164
5.0,30,0.10019414866710054,0.0002923133053918468,-0.0008650176061521173
5.0,31,0.0999264756267348,3.815087721150389e-05,-0.0008650165800308564
5.0,32,0.10014858459475366,4.819941367735267e-05,-0.000865017379753117
5.0,33,0.10002860887125277,3.6305997974134144e-05,-0.0008642755016338398
5.0,34,0.10000698971930033,3.9311127087361864e-05,-0.000865018587085549
5.0,35,0.10041307719617659,4.153975226322401e-05,-0.0008648717822329413
5.0,36,0.09992685460410868,4.1817684038545976e-05,-0.0008650203421786129
5.0,37,0.09995588066588017,5.636010140881012e-05,-0.0008650181966460106
5.0,38,0.09996508582201052,4.7879074953781165e-05,-0.0008650159873954226
5.0,39,0.10001900527539448,3.992999159634326e-05,-0.0008641629117751744
5.0,40,0.10000549653302075,4.963857231653472e-05,-0.0008650174216228955
5.0,41,0.100019086281522,4.089517504752183e-05,-0.0008646942872055814
5.0,42,0.0999081774117193,4.1907235848472314e-05,-0.0008650215319580962
5.0,43,0.10069234911907537,-0.0001587996270191846,-0.0008646941377432639
5.0,44,0.1000758459506667,4.902653638616687e-05,-0.0008654210476129777
5.0,45,0.10000458441740191,5.203514187371301e-05,-0.0008648650211657734
5.0,46,0.10054083050502675,0.00018250503946658648,-0.0008650181441746431
5.0,47,0.10000972655497865,5.33734098570616e-05,-0.0008646951060788874
5.0,48,0.09994651070326065,4.3077055189603675e-05,-0.0008650195004513764
5.0,49,0.10013261918461702,-0.0001455908684658171,-0.0008643139042562933
5.0,50,0.10048291819724718,-0.0001668191490310541,-0.000864387239118268
7.5,1,0.1500200139975788,8.737385540791568e-05,-0.0008645955959734018
7.5,2,0.14985143552925664,8.356426263584322e-05,-0.000865015500508156
7.5,3,0.15001910722543718,9.56432221162731e-05,-0.0008648040779569363
7.5,4,0.15017100817441167,9.273107214768213e-05,-0.00086501835945604
7.5,5,0.14967874222296026,6.768980608678744e-05,-0.0008641972106117682
7.5,6,0.14991065941706277,8.91416597098759e-05,-0.000865018335215937
7.5,7,0.14955273989755555,9.202142973057317e-05,-0.0008650176048647339
7.5,8,0.15001398936607288,8.978077614427069e-05,-0.0008650176078619336
7.5,9,0.1499107344493539,8.936342118376067e-05,-0.0008650183306604976
7.5,10,0.14990361887565498,0.00010002609634395935,-0.0008650152869780423
